Program,Arg1,Arg2,Time,UserTime,SysTime,CPU,PeakMemoryKB,MajorFaults,MinorFaults,VoluntaryCS,InvoluntaryCS
regular_linked_list,125000,,0:06.22,6.19,0.01,99.678,19144,0,4140,1,74
regular_linked_list,125000,,0:06.87,6.82,0.01,99.418,19120,0,4142,1,177
regular_linked_list,125000,,0:07.69,7.56,0.02,98.570,19120,0,4142,1,741
regular_linked_list,125000,,0:07.19,7.13,0.01,99.305,18992,0,4142,1,183
regular_linked_list,125000,,0:08.05,7.93,0.05,99.130,19064,0,4142,1,930
overloaded_linked_list,125000,,5:34.57,332.48,0.21,99.438,34884,0,8033,1,12456
overloaded_linked_list,125000,,5:06.46,306.41,0.02,99.990,34888,0,8035,1,1228
overloaded_linked_list,125000,,5:05.35,305.30,0.02,99.990,34780,0,8034,1,1338
overloaded_linked_list,125000,,5:07.19,307.15,0.01,99.990,34760,0,8036,1,1355
overloaded_linked_list,125000,,5:06.14,306.09,0.02,99.990,34888,0,8034,1,1384
regular_linked_list,580000,,0:28.13,28.09,0.04,100.000,77272,0,18666,1,109
regular_linked_list,580000,,0:28.67,28.62,0.04,99.965,77228,0,18667,1,154
regular_linked_list,580000,,0:28.32,28.28,0.03,99.965,77232,0,18665,1,104
regular_linked_list,580000,,0:28.10,28.06,0.03,99.964,77228,0,18668,1,106
regular_linked_list,580000,,0:28.02,27.98,0.04,100.000,77104,0,18666,1,105
overloaded_linked_list,580000,,2:48:22,10102.13,0.11,100.002,149648,0,36747,1,18064
overloaded_linked_list,580000,,3:02:45,10961.44,0.30,99.970,149588,0,36746,1,41691
overloaded_linked_list,580000,,2:49:27,10162.49,0.41,99.960,149704,0,36747,1,70489
overloaded_linked_list,580000,,2:53:08,10377.66,0.53,99.906,149576,0,36747,1,97254
overloaded_linked_list,580000,,2:48:30,10108.64,0.19,99.988,149696,0,36748,1,50404
regular_linked_list,875000,,0:44.01,43.94,0.06,99.977,114904,0,28078,1,389
regular_linked_list,875000,,0:44.05,43.98,0.06,99.977,114916,0,28080,1,318
regular_linked_list,875000,,0:45.25,45.10,0.07,99.823,114904,0,28077,1,303
regular_linked_list,875000,,0:45.03,44.96,0.06,99.978,114904,0,28078,1,228
regular_linked_list,875000,,0:44.81,44.74,0.06,99.978,114864,0,28079,1,370
overloaded_linked_list,875000,,6:41:14,24063.78,0.80,99.961,223976,0,55366,1,150025
overloaded_linked_list,875000,,7:02:41,25294.61,3.62,99.752,224016,0,55367,1,661825
overloaded_linked_list,875000,,6:44:16,24199.42,2.25,99.776,224192,0,55370,4,394400
overloaded_linked_list,875000,,6:35:29,23725.95,0.30,99.988,224200,0,55369,1,47343
overloaded_linked_list,875000,,8:03:52,23610.66,0.72,81.329,224196,0,55368,4,152852
