Program,Arg1,Arg2,Time,UserTime,SysTime,CPU,PeakMemoryKB,MajorFaults,MinorFaults,VoluntaryCS,InvoluntaryCS
regular_memory_stress,75,,0:26.79,26.72,0.05,99.925,164364,1,40501,3,416
regular_memory_stress,75,,0:40.76,40.66,0.05,99.877,164492,0,40500,1,323
regular_memory_stress,75,,0:47.06,46.96,0.06,99.915,164536,0,40500,1,524
regular_memory_stress,75,,0:46.66,46.54,0.07,99.893,164492,0,40500,1,307
regular_memory_stress,75,,0:50.67,50.58,0.06,99.941,164432,0,40501,1,267
regular_memory_stress,440,,5:19.06,319.12,0.08,100.044,181936,0,48164,1,1868
regular_memory_stress,440,,5:25.93,325.73,0.10,99.969,181744,0,48163,1,2147
regular_memory_stress,440,,5:27.58,327.51,0.10,100.009,181928,0,48164,1,2084
regular_memory_stress,440,,5:27.69,327.57,0.09,99.991,181872,0,48166,1,2029
regular_memory_stress,440,,5:29.39,329.27,0.11,99.997,181896,0,48165,1,2038
regular_memory_stress,750,,9:29.51,569.30,0.16,99.991,204448,0,73799,1,3605
regular_memory_stress,750,,9:30.24,570.00,0.17,99.988,204436,0,73800,1,3710
regular_memory_stress,750,,9:30.08,569.82,0.17,99.984,204516,0,73800,1,3440
regular_memory_stress,750,,9:30.15,569.89,0.15,99.981,204372,0,73798,1,3504
regular_memory_stress,750,,9:28.08,567.82,0.16,99.982,204256,0,73797,1,3379
overloaded_memory_stress,75,,3:48.65,228.54,0.08,99.987,171700,1,42286,3,1470
overloaded_memory_stress,75,,3:49.02,228.90,0.09,99.987,171808,0,42285,1,1404
overloaded_memory_stress,75,,3:48.96,228.85,0.08,99.987,171708,0,42287,1,1418
overloaded_memory_stress,75,,3:49.54,229.43,0.08,99.987,171680,0,42285,1,1451
overloaded_memory_stress,75,,3:42.11,222.00,0.08,99.986,171808,0,42286,1,1491
overloaded_memory_stress,440,,2:45:00,9897.34,0.20,99.975,189896,0,46837,1,70819
overloaded_memory_stress,440,,2:38:46,9521.00,0.25,99.950,189796,0,46839,1,73749
overloaded_memory_stress,440,,2:27:42,8860.91,0.24,99.990,189848,0,46837,1,62952
overloaded_memory_stress,440,,2:44:18,9858.02,0.10,100.001,189756,0,46837,1,3568
overloaded_memory_stress,440,,2:26:53,8812.79,0.10,99.999,189856,0,46838,1,6363
overloaded_memory_stress,750,,3:46:33,13592.43,0.11,99.997,213296,0,52786,1,45436
overloaded_memory_stress,750,,3:52:54,13972.06,0.54,99.990,213792,0,52788,1,25076
overloaded_memory_stress,750,,0:41.18,41.00,0.16,99.951,171676,0,42273,1,862
overloaded_memory_stress,750,,0:01.86,1.80,0.05,99.462,150120,0,36866,1,320
overloaded_memory_stress,750,,0:01.43,1.38,0.05,100.000,150176,0,36866,1,7
