Program,Arg1,Arg2,Time,UserTime,SysTime,CPU,PeakMemoryKB,MajorFaults,MinorFaults,VoluntaryCS,InvoluntaryCS
regular_uniform_nodes,285,600,4:07.25,247.01,0.11,99.947,167944,0,41365,1,774
regular_uniform_nodes,285,600,4:05.84,245.75,0.08,99.996,167944,0,41364,1,1933
regular_uniform_nodes,285,600,4:06.81,246.57,0.09,99.939,167944,0,41366,1,2337
regular_uniform_nodes,285,600,4:06.22,246.03,0.08,99.955,167968,0,41364,1,1543
regular_uniform_nodes,285,600,4:06.67,246.41,0.08,99.927,167816,0,41365,1,1502
overloaded_uniform_nodes,285,600,4:08.13,247.80,0.08,99.899,172692,0,42524,1,1488
overloaded_uniform_nodes,285,600,4:08.69,248.38,0.08,99.908,172696,0,42523,1,1529
overloaded_uniform_nodes,285,600,4:08.12,247.85,0.08,99.923,172696,0,42524,1,1333
overloaded_uniform_nodes,285,600,4:08.97,248.67,0.08,99.912,172616,0,42522,1,2246
overloaded_uniform_nodes,285,600,4:09.36,249.14,0.09,99.948,172608,0,42521,1,2418
regular_uniform_nodes,900,600,3:12:57,11570.99,1.20,99.958,1641096,0,409673,1,85578
regular_uniform_nodes,900,600,3:00:05,10803.55,0.88,99.995,1641096,0,409674,1,14773
regular_uniform_nodes,900,600,2:26:04,8763.13,0.80,99.999,1641172,0,409671,1,19809
regular_uniform_nodes,900,600,2:43:30,9805.74,1.19,99.969,1641300,0,409671,1,40955
regular_uniform_nodes,900,600,2:54:44,10480.63,1.11,99.978,1641136,0,409674,1,56975
overloaded_uniform_nodes,900,600,2:46:36,9987.18,1.24,99.924,1655788,0,413309,1,58176
overloaded_uniform_nodes,900,600,2:25:39,8730.36,1.07,99.913,1655876,0,413312,1,70166
overloaded_uniform_nodes,900,600,2:36:42,9387.05,1.48,99.857,1655876,0,413311,1,137755
overloaded_uniform_nodes,900,600,2:32:11,9128.43,0.95,99.982,1655876,0,413311,1,52777
overloaded_uniform_nodes,900,600,2:23:53,8631.27,0.88,99.990,1655876,0,413311,1,18779
regular_uniform_nodes,1200,600,8:09:44,29342.37,4.16,99.872,2912836,0,727586,1,539589
regular_uniform_nodes,1200,600,8:19:03,29842.13,5.50,99.681,2912852,0,727583,1,764524
regular_uniform_nodes,1200,600,7:21:07,26460.97,1.86,99.984,2912944,0,727585,1,103721
regular_uniform_nodes,1200,600,8:40:31,25815.07,2.08,82.665,2912944,0,727588,5,139414
regular_uniform_nodes,1200,600,8:19:09,26075.54,4.18,87.080,2912992,0,727586,5,364850
overloaded_uniform_nodes,1200,600,7:00:09,25205.76,2.10,99.995,2932204,1,732432,3,85436
overloaded_uniform_nodes,1200,600,6:25:45,23140.77,1.87,99.990,2932328,0,732434,1,113392
overloaded_uniform_nodes,1200,600,5:21:59,19316.23,1.35,99.993,2932232,0,732434,1,108272
overloaded_uniform_nodes,1200,600,7:17:55,26166.95,8.37,99.621,2932420,121214,762886,129626,655096
overloaded_uniform_nodes,1200,600,8:34:48,26870.34,4.96,87.009,2932372,0,732440,9,724775
