Program,Arg1,Arg2,Time,UserTime,SysTime,CPU,PeakMemoryKB,MajorFaults,MinorFaults,VoluntaryCS,InvoluntaryCS
regular_new,10,,0:00.08,0.08,0.00,100.000,3864,0,faults:,,
regular_new,20,,0:00.24,0.24,0.00,100.000,4332,0,faults:,,
regular_new,40,,0:00.79,0.78,0.00,98.734,6528,0,faults:,,
overloaded_new,10,,0:00.12,0.12,0.00,100.000,3900,0,faults:,,
overloaded_new,20,,0:00.27,0.27,0.00,100.000,4508,0,faults:,,
overloaded_new,40,,0:00.90,0.89,0.00,98.889,7444,0,faults:,,
regular_memory_stress,10,,0:07.74,7.65,0.07,99.742,161212,0,faults:,,
regular_memory_stress,20,,0:14.72,14.62,0.09,99.932,164364,0,faults:,,
regular_memory_stress,40,,0:27.84,27.71,0.10,99.892,164364,0,faults:,,
overloaded_memory_stress,10,,0:15.88,15.69,0.12,99.559,168392,0,faults:,,
overloaded_memory_stress,20,,0:21.80,21.63,0.10,99.679,171680,0,faults:,,
overloaded_memory_stress,40,,0:44.13,44.07,0.06,100.000,171672,0,faults:,,
regular_uniform_nodes,25,100,0:00.04,0.04,0.00,100.000,5192,0,faults:,,
regular_uniform_nodes,50,200,0:00.39,0.38,0.00,97.436,9088,0,faults:,,
regular_uniform_nodes,100,400,0:06.85,6.84,0.00,99.854,23816,0,faults:,,
overloaded_uniform_nodes,25,100,0:00.07,0.07,0.00,100.000,4944,0,faults:,,
overloaded_uniform_nodes,50,200,0:00.57,0.56,0.00,98.246,9500,0,faults:,,
overloaded_uniform_nodes,100,400,0:07.28,7.26,0.01,99.863,25620,0,faults:,,
regular_linked_list,10000,,0:00.17,0.17,0.00,100.000,5016,0,faults:,,
regular_linked_list,20000,,0:00.36,0.35,0.00,97.222,6312,0,faults:,,
regular_linked_list,40000,,0:00.71,0.70,0.00,98.592,8576,0,faults:,,
overloaded_linked_list,10000,,0:00.62,0.61,0.00,98.387,5792,0,faults:,,
overloaded_linked_list,20000,,0:01.53,1.52,0.00,99.346,8296,0,faults:,,
overloaded_linked_list,40000,,0:07.51,7.51,0.00,100.000,13344,0,faults:,,
