workload,scale,matrix_size,repetitions,condition,allocator_label,allocator_version,allocator_commit,run_count,run_1_seconds,run_2_seconds,run_3_seconds,mean_seconds,median_seconds,min_seconds,max_seconds,sample_stddev_seconds,run_spread_seconds,coefficient_of_variation_percent,regular_baseline_mean_seconds,elapsed_delta_seconds_vs_regular,elapsed_change_vs_regular_percent,throughput_change_vs_regular_percent,elapsed_rank_including_regular,comparison_to_regular,all_runs_successful,checksum_consistent,checksum,batch_group,concurrent_processes_in_batch,machine_id,processor,os_version,os_build,project_commit,workload_tree_dirty,collection_first_utc,collection_last_utc,source_results_file
matrix,short,360,1,regular,Regular new,system,system,3,247.2,247.32,247.18,247.233333,247.2,247.18,247.32,0.075719,0.14,0.030626,247.233333,0,0,0,6,baseline,true,true,4.8968250157139531e+119,regular_vs_v7,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T02:14:42Z,2026-09-17T02:14:42Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,short,360,1,overloaded,v1.0.0,v1.0.0,7d5414962737f315563b66b9b9278705c4f72c45,3,237.74,237.82,237.75,237.77,237.75,237.74,237.82,0.043589,0.08,0.018332,247.233333,-9.463333,-3.827693,3.980037,1,faster,true,true,4.8968250157139531e+119,v1_vs_v6,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T02:18:42Z,2026-09-17T02:18:43Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,short,360,1,overloaded,v2.0.0,v2.0.0,d081e0e934e2da634f87979f35433c05948962c8,3,237.85,237.85,237.87,237.856667,237.85,237.85,237.87,0.011547,0.02,0.004855,247.233333,-9.376667,-3.792639,3.94215,2,faster,true,true,4.8968250157139531e+119,v2_vs_v5,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T02:22:57Z,2026-09-17T02:22:57Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,short,360,1,overloaded,v3.0.0,v3.0.0,44d16fa843c3236790b6a671a46e61eb97ea6d0f,3,239.93,239.86,239.88,239.89,239.88,239.86,239.93,0.036056,0.07,0.01503,247.233333,-7.343333,-2.970204,3.061125,3,faster,true,true,4.8968250157139531e+119,v3_vs_v4,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T02:26:58Z,2026-09-17T02:26:58Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,short,360,1,overloaded,v4.0.0,v4.0.0,40fba621f6800577ff8060e19bd062bd328c42d3,3,241.05,241.01,241.03,241.03,241.03,241.01,241.05,0.02,0.04,0.008298,247.233333,-6.203333,-2.509101,2.573677,5,faster,true,true,4.8968250157139531e+119,v3_vs_v4,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T02:26:58Z,2026-09-17T02:26:59Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,short,360,1,overloaded,v5.0.0,v5.0.0,f3e17d1d2c97ede9cc2316b0d470ba8587f86f7a,3,253.67,253.96,253.77,253.8,253.77,253.67,253.96,0.147309,0.29,0.058041,247.233333,6.566667,2.65606,-2.587339,8,slower,true,true,4.8968250157139531e+119,v2_vs_v5,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T02:22:57Z,2026-09-17T02:22:57Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,short,360,1,overloaded,v6.0.0,v6.0.0,f68dadcfc67e8764cbdbcf2768390284d43e2f32,3,240.35,240.23,240.24,240.273333,240.24,240.23,240.35,0.066583,0.12,0.027711,247.233333,-6.96,-2.815154,2.896701,4,faster,true,true,4.8968250157139531e+119,v1_vs_v6,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T02:18:42Z,2026-09-17T02:18:43Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,short,360,1,overloaded,v7.0.0,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,3,251.51,251.65,251.58,251.58,251.58,251.51,251.65,0.07,0.14,0.027824,247.233333,4.346667,1.758123,-1.727747,7,slower,true,true,4.8968250157139531e+119,regular_vs_v7,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T02:14:42Z,2026-09-17T02:14:42Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,medium,360,37,regular,Regular new,system,system,3,9138.76,9138.39,9140.12,9139.09,9138.76,9138.39,9140.12,0.910988,1.73,0.009968,9139.09,0,0,0,6,baseline,true,true,4.8968250157139531e+119,regular_vs_v7,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T05:01:57Z,2026-09-17T05:01:57Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,medium,360,37,overloaded,v1.0.0,v1.0.0,7d5414962737f315563b66b9b9278705c4f72c45,3,8820.11,8821.59,8822.81,8821.503333,8821.59,8820.11,8822.81,1.352085,2.7,0.015327,9139.09,-317.586667,-3.475036,3.600142,2,faster,true,true,4.8968250157139531e+119,v1_vs_v6,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T07:30:38Z,2026-09-17T07:30:39Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,medium,360,37,overloaded,v2.0.0,v2.0.0,d081e0e934e2da634f87979f35433c05948962c8,3,8819.94,8819.7,8820.01,8819.883333,8819.94,8819.7,8820.01,0.162583,0.31,0.001843,9139.09,-319.206667,-3.492762,3.619171,1,faster,true,true,4.8968250157139531e+119,v2_vs_v5,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T10:07:33Z,2026-09-17T10:07:33Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,medium,360,37,overloaded,v3.0.0,v3.0.0,44d16fa843c3236790b6a671a46e61eb97ea6d0f,3,8897.76,8901.31,8899.44,8899.503333,8899.44,8897.76,8901.31,1.775847,3.55,0.019954,9139.09,-239.586667,-2.621559,2.692135,3,faster,true,true,4.8968250157139531e+119,v3_vs_v4,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T12:36:43Z,2026-09-17T12:36:43Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,medium,360,37,overloaded,v4.0.0,v4.0.0,40fba621f6800577ff8060e19bd062bd328c42d3,3,8944.05,8944.77,8949.6,8946.14,8944.77,8944.05,8949.6,3.017996,5.55,0.033735,9139.09,-192.95,-2.111261,2.156796,5,faster,true,true,4.8968250157139531e+119,v3_vs_v4,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T12:36:43Z,2026-09-17T12:36:43Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,medium,360,37,overloaded,v5.0.0,v5.0.0,f3e17d1d2c97ede9cc2316b0d470ba8587f86f7a,3,9413.85,9411.98,9410.25,9412.026667,9411.98,9410.25,9413.85,1.800454,3.6,0.019129,9139.09,272.936667,2.986475,-2.899871,8,slower,true,true,4.8968250157139531e+119,v2_vs_v5,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T10:07:33Z,2026-09-17T10:07:33Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,medium,360,37,overloaded,v6.0.0,v6.0.0,f68dadcfc67e8764cbdbcf2768390284d43e2f32,3,8920.78,8920.32,8918.25,8919.783333,8920.32,8918.25,8920.78,1.347677,2.53,0.015109,9139.09,-219.306667,-2.399655,2.458655,4,faster,true,true,4.8968250157139531e+119,v1_vs_v6,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T07:30:38Z,2026-09-17T07:30:39Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,medium,360,37,overloaded,v7.0.0,v7.0.0,d3c2ee7437cdb768b1f69de76287d33c539d6973,3,9298.53,9298.39,9297.97,9298.296667,9298.39,9297.97,9298.53,0.291433,0.56,0.003134,9139.09,159.206667,1.742041,-1.712213,7,slower,true,true,4.8968250157139531e+119,regular_vs_v7,6,mohamed-m3max-v1-v7-matrix-short-medium,Apple M3 Max,27.0,26A428,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-17T05:01:57Z,2026-09-17T05:01:57Z,profiling-results/mohamed-m3max-v1-v7-matrix-short-medium/all-versions/matrix/short-medium/2026-09-17T02-10-30Z/results.csv
matrix,long,360,97,regular,Regular new,system,system,3,24050.25,24048.46,24049.8,24049.503333,24049.8,24048.46,24050.25,0.931146,1.79,0.003872,24049.503333,0,0,0,6,baseline,true,true,4.8968250157139531e+119,regular_vs_v7,6,mohamed-m3max-v7-sanity,Apple M3 Max,26.6.2,25G83,12617e0f943a7b68d8334aa5477dfa403a75ca21,no,2026-09-13T20:40:46Z,2026-09-13T20:40:46Z,profiling-results/mohamed-m3max-v7-sanity/v7.0.0/matrix/long/2026-09-13T13-52-48Z/results.csv
